Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price AUD,Extended Price AUD,
1,2,450-2133-1-ND,SWITCH TACTILE SPST-NO 0.02A 15V,,2,0,0.72000,1.44,
2,1,L62407CT-ND,LED YELLOW CLEAR 0805 SMD,,1,0,0.62000,0.62,
3,1,CP-002A-ND,CONN PWR JACK 2X5.5MM SOLDER,,1,0,0.79000,0.79,
4,1,EG1903-ND,SWITCH SLIDE SPDT 200MA 30V,,1,0,0.76000,0.76,
5,2,L62401CT-ND,LED RED CLEAR 0805 SMD,,2,0,0.62000,1.24,
6,1,L62405CT-ND,LED GREEN CLEAR 0805 SMD,,1,0,0.62000,0.62,
7,1,445-173047-1-ND,FIXED IND 220UH 500MA 1.495 OHM,,1,0,0.69000,0.69,
8,2,478-2357-1-ND,CAP TANT 220UF 16V 10% 2917,,2,0,2.71000,5.42,
9,2,493-2226-1-ND,CAP ALUM 100UF 20% 50V SMD,,2,0,0.62000,1.24,
10,1,478-5258-1-ND,CAP TANT 100UF 16V 10% 2312,,1,0,2.42000,2.42,
11,3,311-1062-1-ND,CAP CER 22PF 50V C0G/NPO 0603,,3,0,0.13000,0.39,
12,12,311-10.0KHRCT-ND,RES SMD 10K OHM 1% 1/10W 0603,,12,0,0.02100,0.25,
13,1,AE11106-ND,CONN SOCKET PLCC 32POS TIN,,1,0,1.26000,1.26,
14,1,ED90010-ND,CONN SOCKET PLCC 68POS TIN,,1,0,2.11000,2.11,
15,2,AE9998-ND,CONN IC DIP SOCKET 20POS TIN,,2,0,0.38000,0.76,
16,1,ED90041-ND,CONN IC DIP SOCKET 24POS GOLD,,1,0,2.71000,2.71,
17,1,ED90008-ND,CONN SOCKET PLCC 44POS TIN,,1,0,1.80000,1.80,
18,3,311-1869-1-ND,CAP CER 10UF 25V X5R 0805,,3,0,0.34000,1.02,
19,1,311-1797-1-ND,CAP CER 2.2UF 10V X7R 0603,,1,0,0.42000,0.42,
20,1,CS82C55AZ-ND,IC I/O EXPANDER 24B 44PLCC,,1,0,13.35000,13.35,
21,2,568-4138-1-ND,DIODE SCHOTTKY 60V 1A SOD323F,,2,0,0.55000,1.10,
22,1,300-6040-ND,CRYSTAL 18.4320MHZ 18PF T/H,,0,1,0.71000,0.71,
23,1,296-4140-1-ND,IC BUS TRANSCEIVER 8BIT 20SOIC,,1,0,1.17000,1.17,
24,1,768-1011-1-ND,IC USB TO PARALLEL FIFO 28-SSOP,,1,0,5.90000,5.90,
25,1,296-1872-5-ND,IC 4.55V SUPPLY MONITOR 8-SOIC,,1,0,2.56000,2.56,
26,1,296-13225-1-ND,IC COUNTER DIVIDE X12 14SO,,1,0,3.58000,3.58,
27,1,768-1007-1-ND,IC USB FS SERIAL UART 28-SSOP,,1,0,5.90000,5.90,
28,1,SST39SF020A-55-4C-NHE,IC FLASH 2MBIT 55NS 32PLCC,,1,0,2.16000,2.16,
29,1,296-14668-1-ND,IC BUFF/DVR TRI-ST 8BIT 20SOIC,,1,0,1.23000,1.23,
30,1,428-3259-ND,IC SRAM 8MBIT 45NS 44TSOP,,1,0,16.97000,16.97,
31,2,568-4070-1-ND,IC CNTRLR PARALLEL/I2C 20TSSOP,,2,0,3.50000,7.00,
32,1,269-4307-ND,IC MPU Z180 33MHZ 68PLCC,,1,0,15.17000,15.17,
33,1,296-8371-6-ND,IC D-TYPE POS TRG DUAL 14SO,,1,0,10.04000,10.04,
34,1,296-33599-5-ND,IC MONOSTABLE MULTIVIB 14-SOIC,,1,0,5.22000,5.22,
35,1,MAX6817EUT+TCT-ND,IC DEBOUNCER SWITCH DUAL SOT23-6,,1,0,6.87000,6.87,
36,10,311-4.7KGRCT-ND,RES SMD 4.7K OHM 5% 1/10W 0603,,10,0,0.01400,0.14,
37,10,311-270HRCT-ND,RES SMD 270 OHM 1% 1/10W 0603,,10,0,0.02100,0.21,
38,10,AE9989-ND,CONN IC DIP SOCKET 14POS TIN,,10,0,0.27800,2.78,
39,1,490-10790-1-ND,FIXED IND 47UH 1.8A 204 MOHM SMD,,1,0,1.18000,1.18,
40,2,DFLS230LDICT-ND,DIODE SCHOTTKY 30V 2A POWERDI123,,2,0,1.00000,2.00,
41,1,LM2674MX-12/NOPBCT-ND,IC REG BUCK 12V 0.5A 8SOIC,,1,0,4.30000,4.30,
42,1,LM2596SX-5.0/NOPBCT-ND,IC REG BUCK 5V 3A TO263-5,,1,0,6.43000,6.43,
43,2,WM3983CT-ND,CONN PLUG USB A 4POS SMD R/A,,2,0,1.62000,3.24,
44,1,1727-6925-1-ND,IC INVERTER 5TSOP,,1,0,0.38000,0.38,
45,1,296-15581-1-ND,IC CONFIG MULT-FUNC GATE SOT23-6,,1,0,0.47000,0.47,
46,1,399-13384-1-ND,CAP CER 10000PF 50V U2J 0603,,1,0,0.34000,0.34,
47,10,311-2.2KGRCT-ND,RES SMD 2.2K OHM 5% 1/10W 0603,,10,0,0.01400,0.14,
48,1,WM18853-ND,CONN HEADER 44POS 2MM VERT GOLD,,1,0,3.37000,3.37,
49,1,296-22862-1-ND,IC VOLT-LVL TRANSL BI-DIR US8,,1,0,1.21000,1.21,
50,20,311-1523-1-ND,CAP CER 0.1UF 100V X7R 0603,,20,0,0.20400,4.08,
51,1,1212-1231-ND,SOCKET 7 MM SOLDER TAIL DOUBLE,,1,0,1.02000,1.02,
52,2,609-3255-ND,CONN HEADER 4POS .100 STR 15AU,,2,0,0.38000,0.76,
