Index;Qty;Part Number;Device;Parts;Value;Package;Description
1;19;311-1523-1-ND;CERAMIC-100NF-50V-10%-X7R(0603);C1, C2, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C28, C30, C31, C32;100nf;C0603;302010138
2;2;493-2226-1-ND;ALUMINUM-SMD-100UF-50V(D8-H10.5MM);C7, C8;100uf;ELECTRO-SMD-E-7.8MM;302030095
3;1;478-5258-1-ND;TANTALUM-SMD-100UF-16V(AVX-C);C11;100uf;AVX-C;302020023
4;12;311-10.0KHRCT-ND;SMD-RES-10K-1%-1/10W(0603);R2, R5, R6, R7, R10, R11, R12, R13, R16, R17, R18, R19;10K;R0603;301010299
5;1;1276-1009-1-ND;CERAMIC-10NF-50V-10%-X7R(0603);C27;10nf;C0603;302010140
6;3;311-1869-1-ND;CERAMIC-10UF-25V-10%-X5R(0805);C12, C26, C29;10uf;C0805;302010178
7;1;300-6040-ND;CRYSTAL 18.4320MHZ 18PF T/H;Y1;18.432MHZ;HC49US;306010005
8;1;1655-1359-1-ND;1N4148WS;D9;1N4148WS;SOD323F;1N4148 General Purpose Rectifie
9;4;311-2.2KGRCT-ND;SMD-RES-2.2K-5%-1/10W(0603);R20, R21, R22, R23;2.2K;R0603;301010124
10;1;490-4520-6-ND;CERAMIC-2.2UF-10V-10%-X7R(0603);C5;2.2uf;C0603;302010054
11;1;‎445-173047-1-ND‎;SMD-INDUCTOR-200UH-20%(2P-5X5MM);L2;200UH;SMD-2P-5.0X5.0X2.0MM;303010140
12;2;478-2357-1-ND;TANTALUM-SMD-220UF-16V(AVX-E);C9, C10;220uf;AVX-E;302020032
13;3;‎311-1062-1-ND‎;CERAMIC-22PF-50V-5%-NPO(0603);C3, C4, C6;22pf;C0603;302010143
14;5;311-270HRCT-ND;SMD-RES-270R-1%-1/10W(0603);R1, R3, R4, R8, R24;270R;R0603;301010197
15;1;490-10790-1-ND;FIXED IND 47UH 1.8A 204 MOHM SMD;L1;33uH;MSS1260;SMT Power Inductor
16;3;311-4.7KGRCT-ND;SMD-RES-4.7K-5%-1/10W(0603);R9, R14, R15;4.7K;R0603;301010290
17;2;568-4138-1-ND;SMD-DIODE-SCHOTTKY-60V-1A(SOD-323);D2, D4;60V-1A;SOD-323;304020026
18;2;DFLS230LDICT-ND;DIODE SCHOTTKY 30V 2A POWERDI123;D1, D3;60V-3A;SOD-323;304020026
19;1;296-33599-5-ND;74121D IC MONOSTABLE MULTIVIB 14-SOIC;IC8;74121D;SO14;Monostable MULTIVIBRATOR, schmitt trigger inputs
20;1;296-8371-6-ND;74ACT74D IC FF D-TYPE DUAL 1BIT 14SOP;IC3;74ACT74D;SO14;Dual D type positive edge triggered FLIP FLOP
21;1;1727-6925-1-ND ;74HCT04D IC INVERTER 1CH 1-INP 5TSOP;IC13;74HCT04D;SO14;Hex INVERTER
22;1;296-3749-5-ND;74LS93D IC 4-BIT BINARY COUNTER 14-SOIC;IC1;74LS93D;SO14;Decade, divide by twelve and binary COUNTER
23;1;CS82C55AZ-ND;82C55APLCC44-S;IC9;82c55;S44;MICROCOMPUTER/PERIPHERAL DEVICE
24;1;S9025-ND;CONN HEADER 44POS 2MM VERT GOLD;IDE;87758-4416;87758-4416;44 Pin - 2mm Dual Row Single Wafer Vertical T/H HDR
25;1;NOS;AM9511A-1;U2;AM9511A-1;DIL24-6;
