"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TP_SIGNAL_NAME";"VALUE";
"!INT_IDE";"TPSPAD1-13";"TPSPAD1-13";"P1-13";"TEST PIN";"";"";"";"";"";"";"";"";
"C1";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C2";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C3";"22pf";"CERAMIC-22PF-50V-5%-NPO(0603)";"C0603";"302010143";"";"";"";"";"";"";"";"22pf";
"C4";"22pf";"CERAMIC-22PF-50V-5%-NPO(0603)";"C0603";"302010143";"";"";"";"";"";"";"";"22pf";
"C5";"2.2uf";"CERAMIC-2.2UF-10V-10%-X7R(0603)";"C0603";"302010054";"";"CC0603KRX7R6BB225";"";"";"";"";"";"2.2uf";
"C6";"22pf";"CERAMIC-22PF-50V-5%-NPO(0603)";"C0603";"302010143";"";"";"";"";"";"";"";"22pf";
"C7";"100uf";"ALUMINUM-SMD-100UF-50V(D8-H10.5MM)";"ELECTRO-SMD-E-7.8MM";"302030095";"";"CS1H101M-CRF10";"";"";"";"";"";"100uf";
"C8";"100uf";"ALUMINUM-SMD-100UF-50V(D8-H10.5MM)";"ELECTRO-SMD-E-7.8MM";"302030095";"";"CS1H101M-CRF10";"";"";"";"";"";"100uf";
"C9";"220uf";"TANTALUM-SMD-220UF-16V(AVX-E)";"AVX-E";"302020032";"";"TAJE227K016RNJ";"";"";"";"";"";"220uf";
"C10";"220uf";"TANTALUM-SMD-220UF-16V(AVX-E)";"AVX-E";"302020032";"";"TAJE227K016RNJ";"";"";"";"";"";"220uf";
"C11";"100uf";"TANTALUM-SMD-100UF-16V(AVX-C)";"AVX-C";"302020023";"";"TAJC107K016RNJ";"";"";"";"";"";"100uf";
"C12";"10uf";"CERAMIC-10UF-25V-10%-X5R(0805)";"C0805";"302010178";"";"CC0805KKX5R8BB106";"";"";"";"";"";"10uf";
"C13";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C14";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C15";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C16";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C17";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C18";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C19";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C20";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C21";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C22";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C23";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C24";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C25";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C26";"10uf";"CERAMIC-10UF-25V-10%-X5R(0805)";"C0805";"302010178";"";"CC0805KKX5R8BB106";"";"";"";"";"";"10uf";
"C27";"10nf";"CERAMIC-10NF-50V-10%-X7R(0603)";"C0603";"302010140";"";"CC0603KRX7R9BB103";"";"";"";"";"";"10nf";
"C28";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C29";"10uf";"CERAMIC-10UF-25V-10%-X5R(0805)";"C0805";"302010178";"";"CC0805KKX5R8BB106";"";"";"";"";"";"10uf";
"C30";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C31";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"C32";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";"CC0603KRX7R9BB104";"";"";"";"";"";"100nf";
"D1";"60V-3A";"SMD-DIODE-SCHOTTKY-60V-1A(SOD-323)";"SOD-323";"304020026";"";"PMEG6010CEJ,115";"";"";"";"";"";"60V-1A";
"D2";"60V-1A";"SMD-DIODE-SCHOTTKY-60V-1A(SOD-323)";"SOD-323";"304020026";"";"PMEG6010CEJ,115";"";"";"";"";"";"60V-1A";
"D3";"60V-3A";"SMD-DIODE-SCHOTTKY-60V-1A(SOD-323)";"SOD-323";"304020026";"";"PMEG6010CEJ,115";"";"";"";"";"";"60V-1A";
"D4";"60V-1A";"SMD-DIODE-SCHOTTKY-60V-1A(SOD-323)";"SOD-323";"304020026";"";"PMEG6010CEJ,115";"";"";"";"";"";"60V-1A";
